UID,Yr,NRows,Mean_ForStrat_ground,Mean_ForStrat_understory,Mean_ForStrat_midhigh,Mean_ForStrat_canopy,Mean_ForStrat_aerial,Air,Air_sallier,Bark,Canopy,Ground,Nectar,Raptor,Shrub,Water,Aquatic,Cavities,DeciduousMCF,Forest,Generalist,Lowlands,Lowlands_Cliffs,Mixed_conifer_forest,Mountain_scrub,Oaks,Openings,Pines,PinyonJuniper,Riparian,Urban,Grassland,HumanModified,Rock,Shrubland,Wetland,Woodland,skyIs,lat,lon,fireYear,dnbr,sampleYr1,sampleYr2,lastSampleYear,elapsedYrs,median_10yrsPrior,min_firePlus3,median_05yrsPostMin,median_10yrsPostMin,phix05,rfvc10,Country,isl_map,isl_field,transect,point,year.sampled,PC1,PC2,Com_Cl,Com_Des,unique_id,focal.yrs.max,focal.count.max,div.years,div.count,years.since,fire1.focalvar.dnbr,fire1.focalmean.dnbr,fire2.focalvar.dnbr,fire2.focalmean.dnbr,fire3.focalvar.dnbr,fire3.focalmean.dnbr,history.class,pines_beta,shrub_beta,forest_beta,Com_DesUO
Chiricahua_D_7_2015,2014,6,20.15897066,32.4040404,31.37409812,15.30242905,0.555555556,0,0.158609909,0.19035594,0.480519481,0.011904762,0,0,0.158609909,0,0,0,0,0.200396825,0.018518519,0.027777778,0,0.044312169,0.131553632,0.289321789,0,0.202861953,0,0.085257335,0,0,0,0,0.03968254,0,0.027056277,DOS CABEZAS - CHIRACAHUA,31.7988,-109.3182,2011,443,2015,1996,2015,4,80.28125,3.114593506,36.92709351,40.34896851,0.438175004,0.482518962,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,D,7,2015,0.637593517,0.370135332,POW,Pine oak woodland,CM_D_7,2011,1,1,1,4,6745.501491,226.0186524,NA,NA,NA,NA,1,0.202861953,0.158609909,0.200396825,Pine oak woodland
Chiricahua_D_8_2015,2014,6,28.125,25,30.27777778,16.45833333,0,0,0.097222222,0.097222222,0.611111111,0.041666667,0,0,0.152777778,0,0,0,0,0.111111111,0.027777778,0,0,0,0.041666667,0.430555556,0.083333333,0.236111111,0,0.069444444,0,0,0,0,0.125,0,0.083333333,DOS CABEZAS - CHIRACAHUA,31.7961,-109.3181,2011,299,2015,NA,2015,4,40.09374237,-0.697921753,18.81248474,20.13020325,0.478293958,0.51059758,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,D,8,2015,0.637593517,0.370135332,OW,Oak woodland,CM_D_8,2011,1,1,1,4,6579.219477,-15.99884847,NA,NA,NA,NA,1,0.236111111,0.152777778,0.111111111,Oak woodland
Chiricahua_D_9_2015,2014,6,38.27222222,38.43888889,16.42962963,6.824074074,0,0,0.19537037,0.041666667,0.250925926,0.066666667,0,0.018518519,0.426851852,0,0,0,0,0.035185185,0.072222222,0.160185185,0,0,0.286111111,0.201851852,0.124074074,0.085185185,0,0.035185185,0,0,0,0,0.336111111,0,0.058333333,DOS CABEZAS - CHIRACAHUA,31.7925,-109.3181,2011,254,2015,1996,2015,4,40.52603912,16.19791412,32.07292175,31.76042938,0.652537244,0.639692342,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,D,9,2015,0.610338397,0.40245253,OW,Oak woodland,CM_D_9,2011,1,1,1,4,7129.094076,76.63046783,NA,NA,NA,NA,1,0.085185185,0.426851852,0.035185185,Oak woodland
Chiricahua_D_10_2015,2014,5,33.83030303,31.03484848,22.59545455,12.38636364,0,0,0.204545455,0,0.306060606,0.154545455,0,0,0.334848485,0,0,0,0,0.051515152,0.018181818,0.051515152,0,0,0.101515152,0.256060606,0.233333333,0.218181818,0,0.06969697,0,0,0,0,0.472727273,0,0,DOS CABEZAS - CHIRACAHUA,31.7908,-109.3174,2011,400,2015,NA,2015,4,29.38019562,-34.32292175,-9.083343506,-9.901046753,0.396206328,0.383370171,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,D,10,2015,0.610338397,0.40245253,OW,Oak woodland,CM_D_10,2011,1,1,1,4,650.0845674,157.8376288,NA,NA,NA,NA,2,0.218181818,0.334848485,0.051515152,Oak woodland
Chiricahua_D_11_2015,2014,6,36.74444444,28.81851852,25.82777778,8.074074074,0.5,0,0.053703704,0.069444444,0.40462963,0.018518519,0,0,0.453703704,0,0,0,0,0.055555556,0.068518519,0.018518519,0,0.033333333,0.176851852,0.201851852,0.225,0.185185185,0,0.035185185,0,0,0,0,0.262037037,0,0.051851852,DOS CABEZAS - CHIRACAHUA,31.7889,-109.3164,2011,430,2015,NA,2015,4,46.18228531,-18.01041412,8.40625,12.79167175,0.411521316,0.479837834,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,D,11,2015,0.610338397,0.40245253,OW,Oak woodland,CM_D_11,2011,1,1,1,4,1513.497054,188.8805074,NA,NA,NA,NA,2,0.185185185,0.453703704,0.055555556,Oak woodland
Chiricahua_D_12_2015,2014,6,54.23611111,31.06818182,13.4229798,1.257575758,0,0,0.140025253,0,0.13030303,0.142676768,0,0,0.586994949,0,0,0.055555556,0,0.078787879,0,0.069318182,0,0,0.27209596,0.209343434,0.31489899,0,0,0,0,0,0,0,0.526893939,0,0.055555556,DOS CABEZAS - CHIRACAHUA,31.787,-109.3161,2011,496,2015,NA,2015,4,55.22396088,-34.66667175,16.23959351,19.97395325,0.56631335,0.607856719,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,D,12,2015,0.582402046,0.435748001,OW,Oak woodland,CM_D_12,2011,1,1,1,4,6737.083544,229.8039182,NA,NA,NA,NA,1,0.01,0.586994949,0.078787879,Oak woodland
Chiricahua_E_2_2015,2014,2,29.1958042,38.16083916,18.1958042,14.27972028,0,0,0.167832168,0,0.374125874,0.083916084,0,0,0.374125874,0,0,0,0,0,0.206293706,0,0,0.038461538,0.251748252,0.41958042,0.038461538,0.045454545,0,0,0,0,0,0,0.122377622,0,0.083916084,DOS CABEZAS - CHIRACAHUA,31.8508,-109.1913,2011,393,2015,1996,2015,4,43.51564026,-5.84375,14.88542175,27.43228912,0.419964097,0.674158229,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,E,2,2015,0.610476339,0.440930228,PJ,Pinyon juniper woodland,CM_E_2,2011,1,1,1,4,5729.990344,212.8825383,NA,NA,NA,NA,1,0.045454545,0.374125874,0.01,Pinyon juniper woodland
Chiricahua_G_1_2014,2014,6,40.0952381,28.95238095,17.31349206,11.92857143,1.71031746,0.037698413,0.023809524,0,0.442063492,0.171428571,0,0,0.325,0,0,0,0.055555556,0.132539683,0.089285714,0,0,0.182142857,0.235714286,0.180952381,0.051587302,0.072222222,0,0,0,0,0.013888889,0,0.16468254,0,0.037698413,DOS CABEZAS - CHIRACAHUA,31.9341,-109.2714,2011,624,2014,1996,2014,3,52.16145325,-38.67707825,-9.739562988,0.583328247,0.318559919,0.432199925,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,G,1,2014,0.703420962,0.344163696,OW,Oak woodland,CM_G_1,2011,1,1,1,3,9204.641247,213.6890482,NA,NA,NA,NA,1,0.072222222,0.325,0.132539683,Oak woodland
Chiricahua_G_2_2014,2014,5,53.89285714,20.57142857,14.28571429,11.25,0,0,0,0,0.325,0.078571429,0,0,0.596428571,0,0,0,0,0.025,0,0,0,0.1,0.232142857,0.25,0.364285714,0.028571429,0,0,0,0,0,0,0.414285714,0,0,DOS CABEZAS - CHIRACAHUA,31.9352,-109.2698,2011,545,2014,1996,2014,3,21.60935974,-51.96875,-31.625,-28.79165649,0.276491882,0.31499985,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,G,2,2014,0.74160173,0.295101378,OW,Oak woodland,CM_G_2,2011,1,1,1,3,1082.384469,135.1944334,NA,NA,NA,NA,2,0.028571429,0.596428571,0.025,Oak woodland
Chiricahua_G_3_2014,2014,6,63.13888889,33.22222222,2.666666667,0.916666667,0,0,0.027777778,0.027777778,0,0.194444444,0,0,0.75,0,0,0,0,0.069444444,0,0,0,0,0.708333333,0.069444444,0.041666667,0.083333333,0,0.027777778,0,0,0,0,0.152777778,0,0,DOS CABEZAS - CHIRACAHUA,31.9358,-109.2687,2011,885,2014,1996,2014,3,58.54166412,-78.35417175,9.875,20.51563263,0.644498579,0.722226529,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,G,3,2014,0.74160173,0.295101378,POW,Pine oak woodland,CM_G_3,2011,1,1,1,3,7342.373575,489.3773933,NA,NA,NA,NA,1,0.083333333,0.75,0.069444444,Pine oak woodland
